Lep Name,Lep Url
Dichomeris rasilella,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Dichomeris_rasilella.JPG/190px-Dichomeris_rasilella.JPG
Dichomeris rustica,None
Dichomeris santarosensis,None
Dichomeris serrativittella,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Dichomeris_serrativittella_-_Toothed_Dichomeris_%2813979843349%29.jpg/240px-Dichomeris_serrativittella_-_Toothed_Dichomeris_%2813979843349%29.jpg
Dichomeris setosella,None
Dichomeris siderosema,None
Dichomeris simpliciella or nr.,None
Dichomeris sp.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Dichomeris_sp._%2828999786467%29.jpg/270px-Dichomeris_sp._%2828999786467%29.jpg
Dichomeris sp. 5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Dichomeris_species.jpg/270px-Dichomeris_species.jpg
Dichomeris sp. 6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Dichomeris_species.jpg/270px-Dichomeris_species.jpg
Dichomeris varronia,None
Eulamprotes ochricapilla,None
Eurysacca melanocampta,None
Evippe,None
Evippe abdita,None
Evippe evippella,None
Evippe laudatella,None
Evippe prunifoliella,None
Evippe sp.,None
Exoteleia graphicella,None
Exoteleia nepheos,None
Faristenia furtumella,None
Faristenia geminisignella,None
Faristenia polemica,None
Faristenia ussuriella,None
Filatima neotrophella,None
Gelechia albisparsella,None
Gelechia muscosella,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Gelechia-muscosella-Salzburg%2C_Stadt_Salzburg%2C_Gnigl-E-MK-24548a.JPG/269px-Gelechia-muscosella-Salzburg%2C_Stadt_Salzburg%2C_Gnigl-E-MK-24548a.JPG
Gelechia nigra,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/%280806%29_Gelechia_nigra_-_Flickr_-_Bennyboymothman.jpg/246px-%280806%29_Gelechia_nigra_-_Flickr_-_Bennyboymothman.jpg
Gelechia pistaciae,None
Gnorimoschema coquillettella,None
Gnorimoschema epithymella,None
Gnorimoschema saphirinella,None
Gnorimoschema terracottella,None
Hedma microcasis,None
Helcystogramma,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Helcystogramma_trijunctum.jpg/270px-Helcystogramma_trijunctum.jpg
Helcystogramma melantherella,None
Helcystogramma philomusa,None
Hypatima scopulosa,None
Hypatima tephroplintha?,None
Hypatima tricosma,None
Hypatima venefica,None
Hypelictis albiscripta,None
Idiophantis eugeniae,None
Isophrictis cerdanica,None
Isophrictis similiella,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/-_1702_%E2%80%93_Isophrictis_similiella_%2815898583947%29.jpg/238px--_1702_%E2%80%93_Isophrictis_similiella_%2815898583947%29.jpg
Istrianis squamodorella,None
Megacraspedus calamogonus,None
Megacraspedus dolosellus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Megacraspedus_%2810.3897-zookeys.800.26292%29_Figures_25%E2%80%9330_9.jpg/128px-Megacraspedus_%2810.3897-zookeys.800.26292%29_Figures_25%E2%80%9330_9.jpg
Megalocypha microcasis?,None
Merimnetria compsodelta,None
Merimnetria elegantior,None
Merimnetria flaviterminella,None
Merimnetria gratula,None
Mesophleps,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Mesophleps_silacella.jpg/273px-Mesophleps_silacella.jpg
Mirificarma cytisella,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Mirificarma_cytisella_%2840905524071%29.jpg/240px-Mirificarma_cytisella_%2840905524071%29.jpg
Mirificarma lentiginosella,https://upload.wikimedia.org/wikipedia/commons/0/03/Mirificarma_lentiginosella.JPG
Mirificarma maculatella,https://upload.wikimedia.org/wikipedia/commons/5/53/Mirificarma_maculatella.JPG
Mometa chlidanopa,None
Monochroa arundinetella,https://upload.wikimedia.org/wikipedia/commons/0/0d/Monochroa_arundinetella.JPG
Monochroa fragariae,None
Monochroa ingravata,None
Monochroa rebeli,None
Nealyda kinzelella,None
Neofaculta infernella,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Neofaculta_infernella.jpg/298px-Neofaculta_infernella.jpg
Neofriseria peliella,https://upload.wikimedia.org/wikipedia/commons/c/c2/Neofriseria_peliella.JPG
Palumbina guerinii,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Palumbina_guerinii.jpg/205px-Palumbina_guerinii.jpg
